iter	Passed	Remaining
0	48	48018
1	48	24280
2	49	16356
3	49	12427
4	50	10092
5	51	8572
6	52	7423
7	53	6588
8	53	5922
9	54	5381
10	55	4950
11	55	4588
12	56	4284
13	57	4014
14	57	3796
15	58	3599
16	59	3431
17	59	3267
18	60	3132
19	61	3006
20	61	2886
21	62	2779
22	63	2681
23	63	2589
24	64	2507
25	64	2430
26	65	2357
27	65	2289
28	66	2232
29	67	2174
30	68	2140
31	69	2092
32	69	2042
33	70	1999
34	70	1955
35	71	1918
36	72	1879
37	72	1844
38	73	1817
39	74	1784
40	75	1761
41	75	1731
42	76	1702
43	77	1673
44	77	1649
45	78	1623
46	78	1598
47	79	1573
48	79	1550
49	80	1528
50	81	1508
51	81	1488
52	82	1471
53	82	1452
54	83	1434
55	84	1418
56	84	1403
57	85	1387
58	86	1375
59	86	1360
60	87	1347
61	88	1334
62	89	1331
63	90	1322
64	91	1316
65	92	1315
66	94	1311
67	95	1302
68	95	1289
69	96	1281
70	97	1270
71	97	1259
72	98	1247
73	98	1236
74	99	1229
75	100	1219
76	100	1209
77	101	1198
78	102	1189
79	102	1179
80	104	1187
81	105	1184
82	106	1172
83	106	1165
84	107	1157
85	108	1152
86	108	1143
87	109	1138
88	110	1133
89	111	1125
90	111	1117
91	112	1110
92	113	1102
93	113	1094
94	114	1087
95	114	1080
96	115	1072
97	115	1065
98	116	1058
99	116	1051
100	117	1045
101	118	1039
102	120	1046
103	120	1040
104	121	1038
105	122	1032
106	123	1030
107	124	1025
108	124	1019
109	126	1020
110	126	1014
111	127	1008
112	127	1002
113	128	997
114	129	993
115	129	987
116	130	981
117	130	977
118	131	976
119	132	971
120	133	966
121	134	965
122	134	961
123	135	958
124	136	954
125	137	950
126	137	946
127	138	942
128	138	937
129	139	933
130	140	931
131	141	927
132	141	922
133	142	918
134	142	915
135	144	916
136	144	912
137	145	909
138	146	904
139	146	900
140	147	897
141	147	892
142	148	889
143	148	885
144	149	882
145	150	879
146	151	876
147	151	873
148	152	870
149	153	867
150	153	864
151	154	861
152	155	858
153	155	855
154	156	851
155	156	848
156	157	845
157	157	841
158	158	838
159	159	835
160	159	831
161	160	828
162	160	825
163	161	823
164	162	820
165	162	817
166	163	814
167	163	811
168	164	808
169	164	805
170	165	803
171	166	803
172	167	801
173	168	798
174	168	795
175	169	792
176	170	791
177	170	788
178	171	786
179	171	783
180	172	780
181	173	778
182	173	775
183	174	772
184	174	769
185	175	766
186	175	764
187	176	761
188	176	758
189	177	756
190	180	764
191	181	762
192	181	759
193	182	757
194	182	754
195	183	752
196	184	750
197	184	747
198	185	746
199	186	744
200	186	742
201	187	739
202	187	738
203	188	735
204	189	733
205	189	731
206	190	729
207	190	727
208	191	724
209	192	722
210	192	720
211	193	718
212	193	716
213	194	713
214	195	713
215	196	712
216	196	709
217	197	707
218	197	705
219	198	703
220	198	701
221	199	699
222	200	698
223	200	695
224	201	693
225	201	691
226	202	689
227	203	687
228	203	685
229	204	683
230	204	681
231	205	679
232	205	677
233	206	675
234	207	673
235	207	672
236	208	670
237	208	668
238	209	666
239	209	664
240	211	665
241	211	664
242	212	662
243	213	660
244	213	658
245	214	656
246	214	654
247	215	652
248	215	650
249	216	648
250	216	647
251	217	645
252	217	643
253	218	641
254	218	639
255	219	638
256	220	636
257	220	634
258	221	632
259	221	631
260	222	629
261	222	627
262	223	626
263	224	624
264	224	623
265	225	622
266	226	621
267	227	622
268	228	621
269	229	620
270	229	618
271	230	617
272	232	619
273	233	618
274	234	617
275	234	616
276	235	615
277	236	614
278	237	612
279	238	612
280	238	611
281	239	609
282	240	608
283	240	607
284	241	606
285	242	604
286	244	606
287	245	607
288	246	606
289	247	604
290	247	603
291	248	602
292	249	601
293	249	599
294	254	607
295	258	615
296	259	614
297	260	612
298	260	611
299	261	609
300	261	607
301	262	606
302	262	604
303	263	603
304	263	601
305	264	599
306	265	598
307	265	596
308	266	595
309	266	593
310	267	592
311	267	590
312	268	589
313	269	587
314	269	586
315	270	585
316	270	583
317	271	582
318	272	581
319	272	579
320	273	578
321	274	576
322	274	575
323	275	573
324	275	572
325	276	571
326	276	569
327	277	568
328	277	566
329	278	565
330	279	564
331	279	562
332	280	561
333	281	561
334	282	560
335	283	559
336	284	559
337	285	559
338	287	559
339	287	558
340	288	556
341	288	555
342	289	553
343	289	552
344	290	551
345	291	550
346	291	548
347	292	547
348	292	546
349	293	544
350	294	543
351	294	542
352	295	541
353	295	539
354	296	538
355	296	537
356	297	535
357	298	534
358	298	533
359	299	531
360	299	530
361	300	529
362	301	528
363	301	527
364	302	526
365	304	527
366	305	526
367	305	525
368	306	523
369	306	522
370	307	521
371	308	520
372	308	518
373	309	517
374	309	516
375	310	514
376	310	513
377	311	512
378	311	510
379	312	509
380	313	508
381	313	507
382	314	506
383	315	506
384	316	505
385	317	504
386	317	503
387	318	502
388	319	501
389	319	500
390	320	498
391	320	497
392	321	496
393	322	495
394	322	494
395	323	492
396	323	491
397	324	490
398	325	489
399	325	488
400	326	487
401	327	486
402	327	485
403	328	484
404	328	483
405	329	482
406	330	481
407	330	480
408	331	478
409	332	478
410	332	477
411	333	476
412	334	475
413	335	474
414	335	473
415	336	472
416	336	470
417	337	469
418	337	468
419	338	467
420	339	467
421	340	466
422	341	465
423	342	465
424	343	465
425	344	464
426	345	463
427	346	463
428	347	462
429	348	462
430	349	461
431	349	460
432	350	458
433	350	457
434	351	456
435	352	456
436	353	455
437	354	454
438	355	453
439	355	452
440	356	451
441	356	450
442	357	449
443	357	448
444	358	447
445	359	446
446	360	446
447	361	445
448	362	444
449	363	444
450	365	444
451	366	443
452	366	442
453	367	441
454	368	440
455	368	439
456	369	438
457	369	437
458	370	436
459	371	435
460	371	434
461	372	433
462	373	432
463	373	431
464	374	430
465	374	429
466	375	428
467	376	427
468	377	426
469	378	426
470	378	425
471	380	425
472	381	425
473	382	424
474	383	423
475	383	422
476	384	421
477	385	420
478	385	419
479	386	418
480	386	417
481	387	416
482	387	415
483	388	414
484	389	413
485	390	412
486	390	411
487	391	410
488	392	410
489	392	408
490	393	407
